,DEPARTAMENTO,MUNICIPIO,CANTIDAD
1052,VALLE DEL CAUCA,CALI,30426
157,BOGOTÁ D.C.,"BOGOTA, D.C.",26793
70,ANTIOQUIA,MEDELLIN,17173
135,ATLÁNTICO,BARRANQUILLA,7153
813,NORTE DE SANTANDER,CUCUTA,6437
166,BOLÍVAR,CARTAGENA,4886
877,RISARALDA,PEREIRA,4728
791,NARIÑO,SAN ANDRES DE TUMACO,3916
1070,VALLE DEL CAUCA,PALMIRA,3808
1049,VALLE DEL CAUCA,BUENAVENTURA,3483
706,MAGDALENA,SANTA MARTA,3178
1079,VALLE DEL CAUCA,TULUA,3155
563,CUNDINAMARCA,SOACHA,3049
738,META,VILLAVICENCIO,2849
153,ATLÁNTICO,SOLEDAD,2739
892,SANTANDER,BUCARAMANGA,2462
329,CALDAS,MANIZALES,2319
449,CESAR,VALLEDUPAR,2258
17,ANTIOQUIA,BELLO,2167
856,QUINDÍO,ARMENIA,2066
