DEPARTAMENTO,CANTIDAD
CALDAS,-83.11688312
RISARALDA,-75.34246575
ANTIOQUIA,-69.87179487
CASANARE,-64.70588235
CUNDINAMARCA,-63.44086022
NORTE DE SANTANDER,-62.16216216
CAQUETÁ,-58.06451613
ARAUCA,-57.77777778
SANTANDER,-55.73770492
LA GUAJIRA,-48.48484848
VALLE DEL CAUCA,-48.32826748
BOYACÁ,-47.61904762
QUINDÍO,-46.15384615
CHOCÓ,-46.15384615
TOLIMA,-46.15384615
CESAR,-44.61538462
GUAVIARE,-42.85714286
META,-25
BOLÍVAR,-23.80952381
PUTUMAYO,-22.58064516
MAGDALENA,-12.96296296
BOGOTÁ D.C.,-7.843137255
NARIÑO,-7.692307692
ATLÁNTICO,-6.25
AMAZONAS,0
GUAINÍA,0
VICHADA,0
HUILA,17.5
CÓRDOBA,27.5862069
VAUPÉS,100
SUCRE,130.7692308
CAUCA,165.2173913
