,DEPARTAMENTO,YEAR,CANTIDAD
0,AMAZONAS,2003-01-01,13
1,AMAZONAS,2004-01-01,5
2,AMAZONAS,2005-01-01,11
3,AMAZONAS,2006-01-01,10
4,AMAZONAS,2007-01-01,8
5,AMAZONAS,2008-01-01,9
6,AMAZONAS,2009-01-01,6
7,AMAZONAS,2010-01-01,10
8,AMAZONAS,2011-01-01,11
9,AMAZONAS,2012-01-01,10
10,AMAZONAS,2013-01-01,10
11,AMAZONAS,2014-01-01,19
12,AMAZONAS,2015-01-01,9
13,AMAZONAS,2016-01-01,17
14,AMAZONAS,2017-01-01,5
15,AMAZONAS,2018-01-01,8
16,AMAZONAS,2019-01-01,6
17,AMAZONAS,2020-01-01,7
18,AMAZONAS,2021-01-01,24
19,AMAZONAS,2022-01-01,33
20,AMAZONAS,2023-01-01,17
21,ANTIOQUIA,2003-01-01,4197
22,ANTIOQUIA,2004-01-01,2446
23,ANTIOQUIA,2005-01-01,2195
24,ANTIOQUIA,2006-01-01,2073
25,ANTIOQUIA,2007-01-01,1946
26,ANTIOQUIA,2008-01-01,2213
27,ANTIOQUIA,2009-01-01,2798
28,ANTIOQUIA,2010-01-01,2737
29,ANTIOQUIA,2011-01-01,2920
30,ANTIOQUIA,2012-01-01,3053
31,ANTIOQUIA,2013-01-01,2456
32,ANTIOQUIA,2014-01-01,1971
33,ANTIOQUIA,2015-01-01,1890
34,ANTIOQUIA,2016-01-01,1861
35,ANTIOQUIA,2017-01-01,1919
36,ANTIOQUIA,2018-01-01,2439
37,ANTIOQUIA,2019-01-01,2336
38,ANTIOQUIA,2020-01-01,2025
39,ANTIOQUIA,2021-01-01,2113
40,ANTIOQUIA,2022-01-01,1898
41,ANTIOQUIA,2023-01-01,1247
42,ARAUCA,2003-01-01,399
43,ARAUCA,2004-01-01,326
44,ARAUCA,2005-01-01,205
45,ARAUCA,2006-01-01,152
46,ARAUCA,2007-01-01,181
47,ARAUCA,2008-01-01,249
48,ARAUCA,2009-01-01,219
49,ARAUCA,2010-01-01,193
50,ARAUCA,2011-01-01,124
51,ARAUCA,2012-01-01,152
52,ARAUCA,2013-01-01,117
53,ARAUCA,2014-01-01,140
54,ARAUCA,2015-01-01,79
55,ARAUCA,2016-01-01,85
56,ARAUCA,2017-01-01,83
57,ARAUCA,2018-01-01,128
58,ARAUCA,2019-01-01,160
59,ARAUCA,2020-01-01,92
60,ARAUCA,2021-01-01,185
61,ARAUCA,2022-01-01,356
62,ARAUCA,2023-01-01,117
63,ATLÁNTICO,2003-01-01,789
64,ATLÁNTICO,2004-01-01,716
65,ATLÁNTICO,2005-01-01,583
66,ATLÁNTICO,2006-01-01,546
67,ATLÁNTICO,2007-01-01,496
68,ATLÁNTICO,2008-01-01,442
69,ATLÁNTICO,2009-01-01,493
70,ATLÁNTICO,2010-01-01,545
71,ATLÁNTICO,2011-01-01,520
72,ATLÁNTICO,2012-01-01,540
73,ATLÁNTICO,2013-01-01,505
74,ATLÁNTICO,2014-01-01,509
75,ATLÁNTICO,2015-01-01,561
76,ATLÁNTICO,2016-01-01,541
77,ATLÁNTICO,2017-01-01,554
78,ATLÁNTICO,2018-01-01,547
79,ATLÁNTICO,2019-01-01,509
80,ATLÁNTICO,2020-01-01,519
81,ATLÁNTICO,2021-01-01,698
82,ATLÁNTICO,2022-01-01,678
83,ATLÁNTICO,2023-01-01,539
84,BOGOTÁ D.C.,2003-01-01,1605
85,BOGOTÁ D.C.,2004-01-01,1570
86,BOGOTÁ D.C.,2005-01-01,1657
87,BOGOTÁ D.C.,2006-01-01,1346
88,BOGOTÁ D.C.,2007-01-01,1336
89,BOGOTÁ D.C.,2008-01-01,1330
90,BOGOTÁ D.C.,2009-01-01,1317
91,BOGOTÁ D.C.,2010-01-01,1321
92,BOGOTÁ D.C.,2011-01-01,1632
93,BOGOTÁ D.C.,2012-01-01,1262
94,BOGOTÁ D.C.,2013-01-01,1268
95,BOGOTÁ D.C.,2014-01-01,1334
96,BOGOTÁ D.C.,2015-01-01,1340
97,BOGOTÁ D.C.,2016-01-01,1263
98,BOGOTÁ D.C.,2017-01-01,1134
99,BOGOTÁ D.C.,2018-01-01,1064
100,BOGOTÁ D.C.,2019-01-01,1052
101,BOGOTÁ D.C.,2020-01-01,1024
102,BOGOTÁ D.C.,2021-01-01,1126
103,BOGOTÁ D.C.,2022-01-01,1017
104,BOGOTÁ D.C.,2023-01-01,795
105,BOLÍVAR,2003-01-01,596
106,BOLÍVAR,2004-01-01,424
107,BOLÍVAR,2005-01-01,416
108,BOLÍVAR,2006-01-01,454
109,BOLÍVAR,2007-01-01,369
110,BOLÍVAR,2008-01-01,317
111,BOLÍVAR,2009-01-01,349
112,BOLÍVAR,2010-01-01,346
113,BOLÍVAR,2011-01-01,323
114,BOLÍVAR,2012-01-01,374
115,BOLÍVAR,2013-01-01,412
116,BOLÍVAR,2014-01-01,396
117,BOLÍVAR,2015-01-01,401
118,BOLÍVAR,2016-01-01,378
119,BOLÍVAR,2017-01-01,399
120,BOLÍVAR,2018-01-01,384
121,BOLÍVAR,2019-01-01,377
122,BOLÍVAR,2020-01-01,417
123,BOLÍVAR,2021-01-01,413
124,BOLÍVAR,2022-01-01,631
125,BOLÍVAR,2023-01-01,515
126,BOYACÁ,2003-01-01,297
127,BOYACÁ,2004-01-01,250
128,BOYACÁ,2005-01-01,175
129,BOYACÁ,2006-01-01,151
130,BOYACÁ,2007-01-01,163
131,BOYACÁ,2008-01-01,144
132,BOYACÁ,2009-01-01,140
133,BOYACÁ,2010-01-01,112
134,BOYACÁ,2011-01-01,103
135,BOYACÁ,2012-01-01,123
136,BOYACÁ,2013-01-01,115
137,BOYACÁ,2014-01-01,111
138,BOYACÁ,2015-01-01,114
139,BOYACÁ,2016-01-01,102
140,BOYACÁ,2017-01-01,75
141,BOYACÁ,2018-01-01,83
142,BOYACÁ,2019-01-01,90
143,BOYACÁ,2020-01-01,74
144,BOYACÁ,2021-01-01,85
145,BOYACÁ,2022-01-01,108
146,BOYACÁ,2023-01-01,72
147,CALDAS,2003-01-01,804
148,CALDAS,2004-01-01,753
149,CALDAS,2005-01-01,663
150,CALDAS,2006-01-01,570
151,CALDAS,2007-01-01,440
152,CALDAS,2008-01-01,429
153,CALDAS,2009-01-01,386
154,CALDAS,2010-01-01,371
155,CALDAS,2011-01-01,326
156,CALDAS,2012-01-01,315
157,CALDAS,2013-01-01,299
158,CALDAS,2014-01-01,271
159,CALDAS,2015-01-01,218
160,CALDAS,2016-01-01,214
161,CALDAS,2017-01-01,186
162,CALDAS,2018-01-01,202
163,CALDAS,2019-01-01,162
164,CALDAS,2020-01-01,151
165,CALDAS,2021-01-01,173
166,CALDAS,2022-01-01,141
167,CALDAS,2023-01-01,93
168,CAQUETÁ,2003-01-01,324
169,CAQUETÁ,2004-01-01,251
170,CAQUETÁ,2005-01-01,225
171,CAQUETÁ,2006-01-01,276
172,CAQUETÁ,2007-01-01,256
173,CAQUETÁ,2008-01-01,243
174,CAQUETÁ,2009-01-01,211
175,CAQUETÁ,2010-01-01,279
176,CAQUETÁ,2011-01-01,238
177,CAQUETÁ,2012-01-01,266
178,CAQUETÁ,2013-01-01,289
179,CAQUETÁ,2014-01-01,217
180,CAQUETÁ,2015-01-01,178
181,CAQUETÁ,2016-01-01,141
182,CAQUETÁ,2017-01-01,179
183,CAQUETÁ,2018-01-01,178
184,CAQUETÁ,2019-01-01,157
185,CAQUETÁ,2020-01-01,135
186,CAQUETÁ,2021-01-01,135
187,CAQUETÁ,2022-01-01,142
188,CAQUETÁ,2023-01-01,106
189,CASANARE,2003-01-01,308
190,CASANARE,2004-01-01,332
191,CASANARE,2005-01-01,160
192,CASANARE,2006-01-01,76
193,CASANARE,2007-01-01,73
194,CASANARE,2008-01-01,79
195,CASANARE,2009-01-01,72
