,YEAR,ZONA,CANTIDAD
0,2003-01-01,RURAL,7028
1,2003-01-01,URBANA,15591
2,2004-01-01,RURAL,5832
3,2004-01-01,URBANA,13131
4,2005-01-01,RURAL,5283
5,2005-01-01,URBANA,11605
6,2006-01-01,RURAL,4905
7,2006-01-01,URBANA,10965
8,2007-01-01,RURAL,4685
9,2007-01-01,URBANA,10566
10,2008-01-01,RURAL,4486
11,2008-01-01,URBANA,10266
12,2009-01-01,RURAL,4381
13,2009-01-01,URBANA,10956
14,2010-01-01,RURAL,3698
15,2010-01-01,URBANA,11173
16,2011-01-01,RURAL,3650
17,2011-01-01,URBANA,12013
18,2012-01-01,RURAL,4201
19,2012-01-01,URBANA,11632
20,2013-01-01,RURAL,4064
21,2013-01-01,URBANA,10756
22,2014-01-01,RURAL,3552
23,2014-01-01,URBANA,9289
24,2015-01-01,RURAL,3357
25,2015-01-01,URBANA,8977
26,2016-01-01,RURAL,3323
27,2016-01-01,URBANA,8722
28,2017-01-01,RURAL,3666
29,2017-01-01,URBANA,8291
30,2018-01-01,RURAL,4187
31,2018-01-01,URBANA,8386
32,2019-01-01,RURAL,4316
33,2019-01-01,URBANA,8233
34,2020-01-01,RURAL,4469
35,2020-01-01,URBANA,7541
36,2021-01-01,RURAL,5079
37,2021-01-01,URBANA,8607
38,2022-01-01,RURAL,5120
39,2022-01-01,URBANA,8420
40,2023-01-01,RURAL,3489
41,2023-01-01,URBANA,6469
