,DEPARTAMENTO,CANTIDAD
0,AMAZONAS,248
1,ANTIOQUIA,48733
2,ARAUCA,3742
3,ATLÁNTICO,11830
4,BOGOTÁ D.C.,26793
5,BOLÍVAR,8691
6,BOYACÁ,2687
7,CALDAS,7167
8,CAQUETÁ,4426
9,CASANARE,2119
10,CAUCA,12509
11,CESAR,5837
12,CHOCÓ,3705
13,CUNDINAMARCA,9130
14,CÓRDOBA,7164
15,GUAINÍA,54
16,GUAVIARE,1051
17,HUILA,6415
18,LA GUAJIRA,4613
19,MAGDALENA,7016
20,META,7852
21,NARIÑO,11972
22,NORTE DE SANTANDER,12500
23,PUTUMAYO,4188
24,QUINDÍO,4843
25,RISARALDA,9421
26,SAN ANDRÉS ISLAS,379
27,SANTANDER,7865
28,SUCRE,3313
29,TOLIMA,7277
30,VALLE DEL CAUCA,60431
31,VAUPÉS,54
32,VICHADA,335
